Central Park Av,220 N,3620 W,Lake St,CTA,X0148,13 N-S / 13 E-W,6 N-S / 2 E-W,07/31/2006 
Central Park Av,220 N,3600 W,Lake St,CTA,X0149,13,2,07/31/2006 
Central Park Av,1010 S,3600 W,S. of Taylor St,Railroad,R0329,12,2,08/02/2006 
Central Park Av,1020 S,3600 W,S. of Taylor St,Railroad,R0326,12,2,08/02/2006 
Central Park Av,2030 S,3600 W,S. of Ogden Av,CTA,X0147,14,2,08/08/2006 
Central Park Av,2220 S,3600 W,S. of Cermak Rd,Railroad,R0325,12,6,08/25/2006 
Central Park Av,1800 N,3600 W,N. of Bloomingdale Av,Railroad,R0328,11,10,08/10/2006 
Cermak Rd,730 W,2200 S,E. of Halsted St,Expy,E0049,"",NP,09/05/2006 
Cermak Rd,720 W,2200 S,E. of Halsted St,Expy,E0048,"",NP,09/05/2006 
Cermak Rd,750 W,2200 S,E. of Halsted St,Expy,E0051,"",NP,09/05/2006 
Cermak Rd,400 W,2200 W,W. of Archer Av,CTA,X0152,"",NP,09/05/2006 
Cermak Rd,20 E,2200 S,E. of State St,CTA,X0151,"",NP,08/31/2006 
Cermak Rd,140 W,2200 S,E. of Wentworth Av,CTA,X0150,12,10,01/08/2010 
Cermak Rd,120 W,2200 S,W. of Clark St,Railroad,R0335,12,10,01/08/2010 
Cermak Rd,4600 W,2200 S,W. of Kilbourn Av,Railroad,R0333,13,6 EX,08/23/2006 
Cermak Rd,430 W,2200 S,E. of Canal St,Railroad,R0336,14,0,09/05/2006 
Cermak Rd,400 W,2200 S,W. of Archer Av,Railroad,R0334,14,0,09/05/2006 
Cermak Rd,740 W,2200 S,E. of Halsted St,Expy,E0050,"",NP,09/05/2006 
Cermak Rd,2500 W,2200 S,W. of Western Av,Railroad,R0331,14,4,08/06/2006 
Cermak Rd,3430 W,2200 S,E. of Trumball Av,Railroad,R0332,12,10,08/25/2006 
Cermak Road Bridge,501 W,2200 S,S.B. of the Chicago River,Overhead ,BAS02,"",NP,12/07/2009 
"","","","",Bascule ,"","","",""
Champlain Av,6300 S,635 E,63rd St,CTA,X0153,13,6 EX,08/16/2006 
Chase Av,1430 W,7300 N,E. of Greenview Av,CTA,X0154,11,6,07/24/2006 
Chestnut St,340 W,860 N,E. of Orleans St,CTA,X0155,14,4,07/24/2006 
Chicago Av,4600 W,800 N,E. of Kenton Av,Railroad,R0341,14,0,09/13/2006 
Chicago Av,4600 W,800 N,E. of Kenton Av,Railroad,R0338,14,0,09/13/2006 
Chicago Av,4550 W,800 N,E. of Kenton Av,Railroad,R0339,14,0,09/13/2006 
Chicago Av,3100 W,800 N,Albany Av,Railroad,R0337,13,6,09/13/2006
Chicago Av,910 W,800 N,E. of Sangamon St,Railroad,R0340,13,0,09/07/2006 
Chicago Av,320 W,800 N,E. of Orleans St,CTA,X0156,13,6,07/26/2006 
Christiana Av,2030 S,3332 W,N. of 21st St,CTA,X0157,"",NP,08/08/2006 
Cicero Av,1000 S,4800 W,S. of Fifth Av,Railroad,R0345,"",NP,08/03/2006 
Cicero Av,1840 N,4800 W,N. of Grand Av,Railroad,R0347,14,4,08/08/2006 
Cicero Av,400 N,4800 W,N. of Kinzie St,Railroad,R0346,"",NP,08/01/2006 
Cicero Av,4110 S,4800 W,N. of 42nd St,Railroad,R0343,13,8,08/23/2006 
Cicero Av,4210 S,4800 W,N. of 43rd St,Railroad,R0342,13,8,08/23/2006 
Cicero Av,4450 N,4800 W,N. of Sunnyside Av,Railroad,R0344,13,0,08/08/2006 
Cicero Av,5600 N,4800 W,Bryn Mawr Av,Expy,E0054,14,0,08/08/2006 
Cicero Av,4820 N,4800 W,N. of Kruger Av,Railroad,R0348,13,2,08/08/2006 
Cicero Av,5340 S,4800 W,N. of 54th St,Railroad,R0349,"",NP,08/21/2006 
Cicero Av,320 N,4800 W,Lake St,CTA,X0158,NP N-S / 14 E-W,NP N-S / 2 E-W,10/28/2009 
Cicero Av,4130 S,4800 W,N. of 42nd St,Expy,E0052,13,8,08/23/2006 
Cicero Av,4140 S,4800 W,N. of 42nd St,Expy,E0053,13,8,08/23/2006 
Cicero Av,4500 N,4800 W,N. of Sunnyside Av,Railroad,R0350,13,0,08/08/2006 
Clark St,1550 S,100 W,N. of 16th St,Railroad,R0351,13,6,09/06/2006 
Clark St,7600 N,1850 W,Howard St,CTA,X0163,"",NP,12/07/2009 
Clark St,1810 S,100 W,S. of 18th St,CTA,X0159,"",NP,08/31/2006 
Clark St,3340 N,940 W,S. of Roscoe St,CTA,X0161,13,8,08/01/2006 
Clark St,400 S,100 W,Van Buren St,CTA,X0162,"",NP,12/09/2009 
Clark St (SB),200 N,100 W,Lake St (EB),CTA,X0160,13,0,12/09/2009 
Cleveland Av,1540 N,500 W,S. of North Av,CTA,X0164,"",NP,07/24/2006 
Clinton St,200 N,530 W,Lake St,CTA,X0165,"",NP,01/27/2010 
Clinton St,500 S,530 W,N. of Harrison St,Expy,E0058,13,10,07/27/2006 
Clybourn Av,2520 N,1700 W,N. of Terra Cotta Av,Railroad,R0352,12,10,08/01/2006 
Colfax Av,8920 S,2600 E,SW of South Chicago Av,Railroad,R0355,11,8,08/22/2006 
